embassy	100
commonbloc1	80
relngo	78
relintergovorgs	74
intergovorgs3	72
timesinceally	70
ngoorgs3	67
intergovorgs	67
reldiplomacy	66
independence	64
ngo	58
conferences	58
weightedunvote	52
blockpositionindex	47
commonbloc2	45
treaties	44
unweightedunvote	38
reltreaties	38
relexports	32
negativebehavior	29
exports3	28
commonbloc0	27
booktranslations	26
officialvisits	23
relbooktranslations	22
tourism	21
accusation	19
timesincewar	18
reltourism	17
pprotests	17
militaryalliance	16
nonviolentbehavior	14
negativecomm	14
tourism3	12
students	12
relexportbooks	12
exportbooks	12
relstudents	11
releconomicaid	11
economicaid	10
eemigrants	9
boycottembargo	8
emigrants3	7
duration	7
violentactions	6
militaryactions	6
relemigrants	5
dependent	5
unoffialacts	4
expeldiplomats	4
warning	3
severdiplomatic	2
lostterritory	2
aidenemy	2
attackembassy	1
