0	isAffiliatedTo
1	playsFor
2	isLocatedIn
3	hasGender
4	wasBornIn
5	actedIn
6	isConnectedTo
7	hasWonPrize
8	influences
9	diedIn
10	hasMusicalRole
11	graduatedFrom
12	created
13	wroteMusicFor
14	directed
15	participatedIn
16	hasChild
17	happenedIn
18	isMarriedTo
19	isCitizenOf
20	worksAt
21	edited
22	livesIn
23	hasCapital
24	isPoliticianOf
25	dealsWith
26	isLeaderOf
27	hasAcademicAdvisor
28	owns
29	hasNeighbor
30	imports
31	exports
32	hasOfficialLanguage
33	isInterestedIn
34	hasCurrency
35	hasWebsite
36	isKnownFor
